Date,GOOG
2021-01-04,85.82467651367188
2021-01-05,86.4543685913086
2021-01-06,86.17479705810547
2021-01-07,88.755126953125
2021-01-08,89.74634552001953
2021-01-11,87.73560333251953
2021-01-12,86.73395538330078
2021-01-13,87.12379455566406
2021-01-14,86.4176254272461
2021-01-15,86.219482421875
2021-01-19,88.93440246582031
2021-01-20,93.70377349853516
2021-01-21,93.9197769165039
2021-01-22,94.40644836425781
2021-01-25,94.32451629638672
2021-01-26,95.21044921875
2021-01-27,90.9173355102539
2021-01-28,92.52234649658203
2021-01-29,91.16315460205078
2021-02-01,94.42134094238281
2021-02-02,95.720458984375
2021-02-03,102.80001068115234
2021-02-04,102.41763305664062
2021-02-05,104.18702697753906
2021-02-08,103.93424987792969
2021-02-09,103.46744537353516
2021-02-10,104.05691528320312
2021-02-11,104.08224487304688
2021-02-12,104.49044799804688
2021-02-16,105.37390899658203
2021-02-17,105.69221496582031
2021-02-18,105.14048767089844
2021-02-19,104.34295654296875
2021-02-22,102.54227447509766
2021-02-23,102.83924102783203
2021-02-24,104.04647827148438
2021-02-25,100.87767028808594
2021-02-26,101.15081024169922
2021-03-01,103.36812591552734
2021-03-02,103.0865478515625
2021-03-03,100.6467514038086
2021-03-04,101.75814819335938
2021-03-05,104.71044158935547
2021-03-08,100.52061462402344
2021-03-09,101.93742370605469
2021-03-10,102.05313110351562
2021-03-11,105.01982879638672
2021-03-12,102.39527893066406
2021-03-15,102.62223052978516
2021-03-16,103.9148941040039
2021-03-17,103.84336853027344
2021-03-18,101.11901092529297
2021-03-19,101.46565246582031
2021-03-22,101.23670959472656
2021-03-23,101.95033264160156
2021-03-24,101.5580062866211
2021-03-25,101.52324676513672
2021-03-26,101.08573913574219
2021-03-29,102.09881591796875
2021-03-30,102.07844543457031
2021-03-31,102.72850799560547
2021-04-01,106.16100311279297
2021-04-05,110.52117156982422
2021-04-06,110.48145294189453
2021-04-07,111.719482421875
2021-04-08,112.50211334228516
2021-04-09,113.51716613769531
2021-04-12,111.9732437133789
2021-04-13,112.59300231933594
2021-04-14,111.97571563720703
2021-04-15,114.05250549316406
2021-04-16,114.10713958740234
2021-04-19,114.33756256103516
2021-04-20,113.90203094482422
2021-04-21,113.88514709472656
2021-04-22,112.62527465820312
2021-04-23,114.9781723022461
2021-04-26,115.5462875366211
2021-04-27,114.57196044921875
2021-04-28,118.18671417236328
2021-04-29,120.66873168945312
2021-04-30,119.68695068359375
2021-05-03,118.94452667236328
2021-05-04,116.91244506835938
2021-05-05,117.03608703613281
2021-05-06,118.25822448730469
2021-05-07,119.11933898925781
2021-05-10,116.28721618652344
2021-05-11,114.65339660644531
2021-05-12,111.19307708740234
2021-05-13,112.32978820800781
2021-05-14,115.0208740234375
2021-05-17,115.28160095214844
2021-05-18,114.38871002197266
2021-05-19,114.65091705322266
2021-05-20,117.0038070678711
2021-05-21,116.45803833007812
2021-05-24,119.515625
2021-05-25,119.63480377197266
2021-05-26,120.84949493408203
2021-05-27,119.30904388427734
2021-05-28,119.75846862792969
2021-06-01,120.66476440429688
2021-06-02,120.24116516113281
2021-06-03,119.41331481933594
2021-06-04,121.75479888916016
2021-06-07,122.4664306640625
2021-06-08,123.2987289428711
2021-06-09,123.72332763671875
2021-06-10,125.22306060791016
2021-06-11,124.84217071533203
2021-06-14,125.49322509765625
2021-06-15,125.17638397216797
2021-06-16,124.84217071533203
2021-06-17,125.5120849609375
2021-06-18,124.71404266357422
2021-06-21,125.59551239013672
2021-06-22,126.13632202148438
2021-06-23,125.60197448730469
2021-06-24,126.41690063476562
2021-06-25,126.1318359375
2021-06-28,125.95753479003906
2021-06-29,125.16197967529297
2021-06-30,124.46426391601562
2021-07-01,125.50960540771484
2021-07-02,127.84412384033203
2021-07-06,128.88897705078125
2021-07-07,129.19338989257812
2021-07-08,128.29904174804688
2021-07-09,128.6938018798828
2021-07-12,129.67660522460938
2021-07-13,130.1041717529297
2021-07-14,131.1847686767578
2021-07-15,130.37429809570312
2021-07-16,130.9493865966797
2021-07-19,128.37548828125
2021-07-20,130.21043395996094
2021-07-21,131.69924926757812
2021-07-22,132.42230224609375
2021-07-23,136.87930297851562
2021-07-26,138.6953887939453
2021-07-27,135.86671447753906
2021-07-28,135.45457458496094
2021-07-29,135.61245727539062
2021-07-30,134.3019256591797
2021-08-02,135.06521606445312
2021-08-03,135.35372924804688
2021-08-04,135.10394287109375
2021-08-05,136.00926208496094
2021-08-06,136.10459899902344
2021-08-09,137.0640411376953
2021-08-10,137.1578826904297
2021-08-11,136.753662109375
2021-08-12,137.4488983154297
2021-08-13,137.4652862548828
2021-08-16,137.97181701660156
2021-08-17,136.3673095703125
2021-08-18,135.6417999267578
2021-08-19,135.98292541503906
2021-08-20,137.49606323242188
2021-08-23,140.14048767089844
2021-08-24,141.43064880371094
2021-08-25,141.97840881347656
2021-08-26,141.1570281982422
2021-08-27,143.5680389404297
2021-08-30,144.4807891845703
2021-08-31,144.47332763671875
2021-09-01,144.85073852539062
2021-09-02,143.23876953125
2021-09-03,143.79098510742188
2021-09-07,144.52993774414062
2021-09-08,143.89877319335938
2021-09-09,143.92855834960938
2021-09-10,140.95640563964844
2021-09-13,142.48989868164062
2021-09-14,142.4313201904297
2021-09-15,144.21905517578125
2021-09-16,143.39224243164062
2021-09-17,140.5019989013672
2021-09-20,138.07212829589844
2021-09-21,138.69735717773438
2021-09-22,139.9805908203125
2021-09-23,140.86253356933594
2021-09-24,141.66354370117188
2021-09-27,140.5392608642578
2021-09-28,135.25839233398438
2021-09-29,133.60670471191406
2021-09-30,132.35975646972656
2021-10-01,135.53500366210938
2021-10-04,132.8558349609375
2021-10-05,135.25144958496094
2021-10-06,136.42042541503906
2021-10-07,138.239501953125
2021-10-08,139.1040802001953
2021-10-11,137.90377807617188
2021-10-12,135.7838134765625
2021-10-13,136.96273803710938
2021-10-14,140.4508514404297
2021-10-15,140.71206665039062
2021-10-18,141.98883056640625
2021-10-19,142.84449768066406
2021-10-20,141.44703674316406
2021-10-21,141.81004333496094
2021-10-22,137.6827850341797
2021-10-25,137.8297882080078
2021-10-26,138.72268676757812
2021-10-27,145.43226623535156
2021-10-28,145.1358184814453
2021-10-29,147.2627410888672
2021-11-01,142.7967987060547
2021-11-02,144.87159729003906
2021-11-03,145.79229736328125
2021-11-04,147.6724395751953
2021-11-05,148.22665405273438
2021-11-08,148.33639526367188
2021-11-09,148.23410034179688
2021-11-10,145.6294403076172
2021-11-11,145.75062561035156
2021-11-12,148.62838745117188
2021-11-15,148.37265014648438
2021-11-16,148.06275939941406
2021-11-17,148.04885864257812
2021-11-18,149.68467712402344
2021-11-19,148.9333038330078
2021-11-22,146.07884216308594
2021-11-23,145.75953674316406
2021-11-24,145.7202911376953
2021-11-26,141.8353729248047
2021-11-29,145.12091064453125
2021-11-30,141.48379516601562
2021-12-01,140.6554412841797
2021-12-02,142.7992706298828
2021-12-03,141.5518341064453
2021-12-06,142.81915283203125
2021-12-07,147.03033447265625
2021-12-08,147.70968627929688
2021-12-09,147.099365234375
2021-12-10,147.6645050048828
2021-12-13,145.70738220214844
2021-12-14,143.9851837158203
2021-12-15,146.3668670654297
2021-12-16,143.85406494140625
2021-12-17,141.83241271972656
2021-12-20,141.4336395263672
2021-12-21,143.24024963378906
2021-12-22,145.9502410888672
2021-12-23,146.1424102783203
2021-12-27,147.05764770507812
2021-12-28,145.45262145996094
2021-12-29,145.50877380371094
2021-12-30,145.01016235351562
2021-12-31,143.69613647460938
2022-01-03,144.0884552001953
2022-01-04,143.43495178222656
2022-01-05,136.71791076660156
2022-01-06,136.61610412597656
2022-01-07,136.0733184814453
2022-01-10,137.6321563720703
2022-01-11,139.06585693359375
2022-01-12,140.6852569580078
2022-01-13,138.18536376953125
2022-01-14,138.83641052246094
2022-01-18,135.36416625976562
2022-01-19,134.73001098632812
2022-01-20,132.59910583496094
2022-01-21,129.20779418945312
2022-01-24,129.4858856201172
2022-01-25,125.87411499023438
2022-01-26,128.36158752441406
2022-01-27,128.243408203125
2022-01-28,132.38357543945312
2022-01-31,134.77618408203125
2022-02-01,136.9413604736328
2022-02-02,147.03033447265625
2022-02-03,141.68093872070312
2022-02-04,142.04397583007812
2022-02-07,137.99366760253906
2022-02-08,138.26681518554688
2022-02-09,140.49156188964844
2022-02-10,137.66046142578125
2022-02-11,133.21836853027344
2022-02-14,134.3804168701172
2022-02-15,135.4982452392578
2022-02-16,136.55303955078125
2022-02-17,131.4092559814453
2022-02-18,129.58074951171875
2022-02-22,128.52297973632812
2022-02-23,126.71783447265625
2022-02-24,131.77174377441406
2022-02-25,133.60520935058594
2022-02-28,133.97418212890625
2022-03-01,133.256103515625
2022-03-02,133.8356170654297
2022-03-03,133.3951416015625
2022-03-04,131.2239990234375
