location,day,so2,co,o3,no2,pm10,pm25
종로구,2024-01-25,0.003,0.5,0.025,0.026,23,17
종로구,2024-01-26,0.003,0.6,0.019,0.045,34,27
종로구,2024-01-27,0.003,0.7,0.026,0.039,51,42
종로구,2024-01-28,0.003,0.5,0.03,0.03,30,25
종로구,2024-01-29,0.003,0.7,0.02,0.05,44,37
종로구,2024-01-30,0.004,0.9,0.013,0.069,58,49
종로구,2024-01-31,0.004,0.9,0.022,0.061,57,47
종로구,2024-02-01,0.004,0.8,0.032,0.037,83,69
종로구,2024-02-02,0.003,0.6,0.021,0.045,40,34
종로구,2024-02-03,0.003,0.6,0.017,0.045,33,28
종로구,2024-02-04,0.003,0.5,0.025,0.032,23,18
종로구,2024-02-05,0.002,0.3,0.036,0.018,6,3
종로구,2024-02-06,0.002,0.5,0.025,0.032,14,12
종로구,2024-02-07,0.002,0.6,0.024,0.031,33,31
종로구,2024-02-08,0.003,0.7,0.025,0.045,40,36
종로구,2024-02-09,0.003,0.6,0.029,0.037,34,30
종로구,2024-02-10,0.003,0.7,0.038,0.028,48,43
종로구,2024-02-11,0.003,0.7,0.037,0.026,68,63
종로구,2024-02-12,0.003,0.8,0.024,0.046,67,59
종로구,2024-02-13,0.003,1,0.017,0.069,68,52
종로구,2024-02-14,0.004,0.8,0.02,0.058,52,35
종로구,2024-02-15,0.003,0.4,0.031,0.019,23,18
