,metro,city,stnPlace,stnAddr,rapidCnt,slowCnt,carType
228,서울특별시,도봉구,창동2차현대아파트,서울특별시 도봉구 창동 도봉로136길 111,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
229,서울특별시,도봉구,창동3차현대아파트,서울특별시 도봉구 창동 도봉로 428,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
230,서울특별시,도봉구,창동대동 아파트,서울특별시 도봉구 창동 도봉로 642-30,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
231,서울특별시,도봉구,창동대우아파트,"서울특별시 도봉구 덕릉로63가길 43 (창동, 창동대우아파트)",1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
232,서울특별시,도봉구,창동쌍용 아파트,서울특별시 도봉구 창동 마들로 551,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
233,서울특별시,도봉구,창동주공18단지아파트,"서울특별시 도봉구 노해로70길 126 (창동, 주공18단지아파트)",1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
234,서울특별시,도봉구,창동한승미메이드 아파트,서울특별시 도봉구 덕릉로 60길 164-13,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
235,서울특별시,도봉구,창동한신 아파트,서울특별시 도봉구 창동 덕릉로60바길 21,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
236,서울특별시,도봉구,한일병원,서울특별시 도봉구 쌍문동 388-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
237,서울특별시,도봉구,효성하이타운,서울특별시 도봉구 방학동 방학로11길 33,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
